order_id,customer_id,restaurant_id,partner_id,order_date,order_time,order_amount,delivery_time,rating,payment_amount,created_at,updated_at,promo_code
ORD02006017,CUST00252,REST0180,DP0030,2025-02-26,09:40:26,516.64,38,4.8,516.64,2025-02-26 09:40:26,2025-02-26 17:18:26,FREESHIP
ORD02005664,CUST00387,REST0289,DP0480,2025/02/08,21:16:50,767.06,42,4.0,767.06,2025-02-08 21:16:50,2025-02-10 03:11:50,NEWUSER
ORD02001975,CUST00731,REST0114,DP0239,2025/02/03,22:05:15,609.02,53,5.0,609.02,2025-02-03 22:05:15,2025-02-06 19:38:15,DINNERDEAL
ORD02001054,CUST00824,REST0134,DP0453,2025/02/06,22:22:22,594.3,53,3.5,594.3,2025-02-06 22:22:22,2025-02-06 23:08:22,FREESHIP
ORD02006219,CUST00297,REST0115,DP0477,2025/02/07,18:05:25,448.21,47,,448.21,2025-02-07 18:05:25,2025-02-09 19:12:25,SAVE50
ORD02004086,CUST01046,REST0280,DPX9774,2025-02-11,19:08:37,738.67,54,4.1,738.67,2025-02-11 19:08:37,2025-02-13 05:28:37,WEEKEND75
ORD02005034,CUST00733,REST0269,DP0499,2025-02-06,18:25:21,79,52,4.9,288.11,2025-02-06 18:25:21,2025-02-09 14:12:21,
ORD02006852,CUST00816,RESTX9712,DP0485,2025-02-09,20:01:10,482.41,,4.0,482.41,2025-02-09 20:01:10,2025-02-11 22:44:10,NEWUSER
ORD02006632,CUST00513,REST0282,DP0274,09/02/2025,13:42:20,636.62,66,,636.62,2025-02-09 13:42:20,2025-02-09 21:33:20,FREESHIP
ORD02006429,CUST00415,REST0029,DP0114,09/02/2025,16:54:37,615.23,,,615.23,2025-02-09 16:54:37,2025-02-12 09:21:37,NEWUSER
ORD02007315,CUST00778,REST0186,DP0283,Feb 15 2025,21:46:48,410.45,,2.9,410.45,2025-02-15 21:46:48,2025-02-18 09:24:48,WELCOME100
ORD02004569,CUST00428,REST0100,DP0371,Feb 03 2025,12:43:19,511.68,41,3.5,511.68,2025-02-03 12:43:19,2025-02-04 21:28:19,SAVE50
