order_id,customer_id,restaurant_id,partner_id,order_date,order_time,order_amount,delivery_time,rating,payment_amount,created_at,updated_at
ORD01006463,CUST00400,REST0239,DP0247,Jan 21 2025,16:58:43,647.92,,4.7,647.92,2025-01-21 16:58:43,2025-01-24 10:02:43
ORD01006921,CUSTX96757,REST0097,DP0427,2025/01/12,20:52:02,390.84,46,4.7,390.84,2025-01-12 20:52:02,2025-01-13 04:31:02
ORD01003012,CUST00357,REST0157,DP0294,Jan 14 2025,12:22:36,,35,4.6,355.04,2025-01-14 12:22:36,2025-01-17 09:59:36
ORD01007987,CUST00382,REST0211,DP0099,Jan 09 2025,22:48:20,522.3,,2.6,522.3,2025-01-09 22:48:20,2025-01-11 02:02:20
ORD01003807,CUST00950,REST0247,DP0344,2025/01/13,21:50:23,479.94,51,4.3,479.94,2025-01-13 21:50:23,2025-01-16 00:25:23
ORD01006910,CUST00293,REST0172,DP0295,Jan 14 2025,19:32:24,440.81,33,,440.81,2025-01-14 19:32:24,2025-01-15 22:03:24
ORD01002125,CUST01089,REST0138,DP0167,2025/01/28,21:20:54,,49,4.1,394.76,2025-01-28 21:20:54,2025-01-29 23:01:54
ORD01003942,CUST00735,REST0089,DP0406,2025-01-18,13:04:18,585.47,32,3.5,585.47,2025-01-18 13:04:18,2025-01-19 17:43:18
ORD01000871,CUST00007,REST0037,DP0148,Jan 07 2025,15:27:24,,26,4.4,378.51,2025-01-07 15:27:24,2025-01-10 01:18:24
ORD01002402,CUST00991,REST0213,DP0326,Jan 07 2025,19:43:29,412.65,48,,412.65,2025-01-07 19:43:29,2025-01-08 00:04:29
ORD01004699,CUST00989,REST0130,DP0463,2025-01-17,21:25:14,,,3.0,434.52,2025-01-17 21:25:14,2025-01-18 20:33:14
ORD01003973,CUST00069,REST0196,DP0171,Jan 30 2025,21:22:54,428.95,45,0.5,428.95,2025-01-30 21:22:54,2025-02-02 18:05:54
ORD01000191,CUST00535,REST0221,DP0358,2025/01/22,08:50:38,480.16,,5.0,480.16,2025-01-22 08:50:38,2025-01-22 17:39:38
ORD01007457,CUST00640,REST0123,DP0078,29/01/2025,15:09:01,689.12,40,3.5,689.12,2025-01-29 15:09:01,2025-01-31 22:46:01
ORD01006665,CUST00192,RESTX9674,DP0293,2025/01/21,19:27:55,,35,,317.77,2025-01-21 19:27:55,2025-01-22 05:20:55
ORD01000616,CUST00203,REST0141,DP0183,2025/01/23,19:03:34,635.84,61,,635.84,2025-01-23 19:03:34,2025-01-24 06:48:34
ORD01001581,CUST00884,RESTX9133,DP0284,Jan 03 2025,10:44:18,521.04,39,3.3,521.04,2025-01-03 10:44:18,2025-01-04 17:02:18
ORD01004902,CUST00629,REST0271,DP0065,06/01/2025,15:22:33,,48,2.0,251.33,2025-01-06 15:22:33,2025-01-08 19:30:33
ORD01006193,CUST00401,REST0255,DP0194,2025/01/17,12:13:29,627.29,53,4.3,627.29,2025-01-17 12:13:29,2025-01-17 15:14:29
ORD01006290,CUST01027,REST0205,DP0384,Jan 06 2025,22:27:56,560.93,,4.6,560.93,2025-01-06 22:27:56,2025-01-09 10:52:56
ORD01004638,CUSTX95951,REST0125,DP0065,Jan 02 2025,20:31:52,557.65,53,4.4,557.65,2025-01-02 20:31:52,2025-01-05 01:05:52
ORD01001246,CUST00281,REST0199,DPX9772,13/01/2025,21:38:15,513.91,52,,513.91,2025-01-13 21:38:15,2025-01-15 23:51:15
ORD01007800,CUST00627,REST0042,DP0129,2025-01-16,14:49:03,277.23,unknown,2.7,277.23,2025-01-16 14:49:03,2025-01-17 09:00:03
ORD01005354,CUST01082,REST0278,DP0206,2025-01-27,19:48:25,,39,3.4,300.18,2025-01-27 19:48:25,2025-01-29 06:52:25
ORD01000613,CUST00837,REST0013,DP0478,2025/01/29,14:59:54,-100.48,25,,372.19,2025-01-29 14:59:54,2025-01-30 00:13:54
ORD01002556,CUST01051,REST0230,DP0497,25/01/2025,17:56:21,457.77,,3.9,457.77,2025-01-25 17:56:21,2025-01-27 07:07:21
ORD01007088,CUST00683,REST0109,DP0376,02/01/2025,22:26:18,582.53,63,4.2,582.53,2025-01-02 22:26:18,2025-01-03 10:57:18
ORD01007663,CUST00592,REST0193,DP0438,2025-01-19,19:24:55,715.68,41,4.2,715.68,2025-01-19 19:24:55,2025-01-22 13:13:55
ORD01003936,CUST00553,REST0184,DP0407,Jan 21 2025,23:22:42,,18,4.3,301.97,2025-01-21 23:22:42,2025-01-22 06:19:42
ORD01006207,CUST00253,REST0107,DP0135,2025-01-20,13:51:24,189.13,,4.3,189.13,2025-01-20 13:51:24,2025-01-20 22:08:24
ORD01006642,CUST00078,REST0182,DP0129,2025/01/19,15:56:11,759.43,26,5.0,759.43,2025-01-19 15:56:11,2025-01-20 10:07:11
ORD01007427,CUST00899,REST0067,DP0098,2025-01-12,19:19:20,396.38,31,3.9,396.38,2025-01-12 19:19:20,2025-01-14 12:57:20
ORD01003934,CUST00523,REST0088,DP0118,16/01/2025,08:41:57,444.35,67,4.8,444.35,2025-01-16 08:41:57,2025-01-17 16:51:57
ORD01007251,CUST00399,REST0027,DPX9746,04/01/2025,19:34:08,756.21,48,4.2,756.21,2025-01-04 19:34:08,2025-01-05 12:39:08
ORD01003803,CUST00526,REST0237,DP0399,2025/01/13,21:35:03,,59,4.6,468.28,2025-01-13 21:35:03,2025-01-16 03:23:03
ORD01005199,CUST00774,REST0072,DP0304,Jan 30 2025,19:20:38,,57,5.0,382.96,2025-01-30 19:20:38,2025-02-01 20:19:38
ORD01000419,CUST00490,REST0245,DP0258,31/01/2025,15:19:38,935.7,36,3.9,935.7,2025-01-31 15:19:38,2025-02-03 10:05:38
ORD01002142,CUST00256,REST0007,DP0222,2025-01-24,22:40:31,262.73,,3.6,262.73,2025-01-24 22:40:31,2025-01-24 22:47:31
ORD01000486,CUST01129,RESTX9990,DP0273,11/01/2025,13:53:24,527.3,,,527.3,2025-01-11 13:53:24,2025-01-12 10:57:24
ORD01006225,CUST00452,REST0038,DP0419,2025-01-31,08:30:49,456.65,28,4.3,456.65,2025-01-31 08:30:49,2025-01-31 12:16:49
ORD01000765,CUST00229,REST0038,DP0321,2025/01/03,22:16:00,551.61,,4.6,551.61,2025-01-03 22:16:00,2025-01-05 15:53:00
ORD01000336,CUST01001,REST0054,DP0339,13/01/2025,19:19:06,494.39,41,,494.39,2025-01-13 19:19:06,2025-01-16 08:48:06
ORD01006543,CUST00568,REST0152,DP0198,2025/01/03,19:28:13,551.53,44,4.3,551.53,2025-01-03 19:28:13,2025-01-05 10:42:13
ORD01005874,CUST00490,RESTX9311,DP0088,Jan 30 2025,14:49:08,532.4,40,0.2,532.4,2025-01-30 14:49:08,2025-01-31 21:44:08
ORD01003449,CUST00782,REST0113,DP0379,2025/01/20,23:46:36,751.12,26,5.0,751.12,2025-01-20 23:46:36,2025-01-22 01:35:36
ORD01001903,CUST00657,REST0234,DP0383,14/01/2025,19:21:36,329.4,,4.8,329.4,2025-01-14 19:21:36,2025-01-16 22:06:36
ORD01003092,CUST00940,REST0212,DP0222,2025/01/07,22:06:01,704.56,49,4.9,704.56,2025-01-07 22:06:01,2025-01-10 05:02:01
ORD01000791,CUST00660,REST0126,DP0487,01/01/2025,21:12:41,638.1,46,4.6,638.1,2025-01-01 21:12:41,2025-01-02 21:10:41
ORD01006853,CUST00101,REST0137,DP0282,19/01/2025,19:41:36,591.08,32,-0.2,591.08,2025-01-19 19:41:36,2025-01-20 04:45:36
ORD01004470,CUST00351,REST0223,DP0320,2025/01/30,08:20:27,,unknown,3.9,504.87,2025-01-30 08:20:27,2025-02-01 15:33:27
ORD01002245,CUST00014,REST0071,DP0362,Jan 09 2025,12:20:08,145.94,34,4.7,145.94,2025-01-09 12:20:08,2025-01-12 04:29:08
ORD01004239,CUST00605,REST0184,DP0161,2025/01/28,18:11:34,,54,5.0,675.22,2025-01-28 18:11:34,2025-01-31 13:18:34
ORD01002294,CUST00888,REST0198,DP0032,2025/01/26,13:07:11,551.04,59,,551.04,2025-01-26 13:07:11,2025-01-29 05:55:11
ORD01005341,CUST00507,REST0132,DP0258,Jan 02 2025,22:19:46,,,3.5,245.87,2025-01-02 22:19:46,2025-01-04 04:55:46
ORD01000735,CUST00719,REST0199,DP0304,05/01/2025,15:01:45,988.47,28,4.9,988.47,2025-01-05 15:01:45,2025-01-06 07:49:45
ORD01004696,CUST00154,REST0012,DP0359,2025/01/18,23:25:59,640.2,62,,640.2,2025-01-18 23:25:59,2025-01-21 05:41:59
ORD01000104,CUST00533,REST0039,DP0345,2025/01/21,18:46:03,335.87,74,4.4,335.87,2025-01-21 18:46:03,2025-01-21 18:58:03
ORD01006178,CUST00991,REST0252,DP0172,2025-01-23,20:08:16,488.52,,4.0,488.52,2025-01-23 20:08:16,2025-01-25 05:19:16
ORD01004804,CUST00215,REST0159,DP0302,Jan 18 2025,15:19:18,332.07,59,4.3,332.07,2025-01-18 15:19:18,2025-01-19 13:48:18
ORD01005635,CUST00642,REST0052,DP0283,2025/01/14,21:57:00,526.83,54,3.7,526.83,2025-01-14 21:57:00,2025-01-17 10:09:00
ORD01007842,CUST00918,REST0049,DP0228,Jan 31 2025,13:46:16,461.3,39,3.8,461.3,2025-01-31 13:46:16,2025-02-01 02:59:16
ORD01003376,CUST00032,REST0103,DP0261,28/01/2025,10:50:39,441.86,39,3.8,441.86,2025-01-28 10:50:39,2025-01-28 10:55:39
ORD01000154,CUST00130,REST0050,DP0303,22/01/2025,23:29:32,309.91,63,4.7,309.91,2025-01-22 23:29:32,2025-01-23 17:31:32
ORD01007839,CUST00429,REST0245,DP0358,2025-01-23,21:16:17,NA,61,,148.16,2025-01-23 21:16:17,2025-01-25 02:01:17
ORD01002693,CUST00669,REST0161,DP0207,2025-01-23,20:36:16,369.72,50,,369.72,2025-01-23 20:36:16,2025-01-26 13:17:16
ORD01005088,CUST00599,REST0128,DP0053,2025/01/17,17:04:20,,38,4.7,397.48,2025-01-17 17:04:20,2025-01-19 07:59:20
ORD01007899,CUST00042,RESTX9896,DP0413,Jan 03 2025,20:33:18,,75,4.6,432.69,2025-01-03 20:33:18,2025-01-04 12:57:18
ORD01001368,CUST00311,REST0200,DPX9761,2025-01-12,14:25:48,,45,3.7,322.29,2025-01-12 14:25:48,2025-01-14 11:34:48
ORD01006475,CUST00326,REST0016,DPX9387,2025-01-06,19:41:33,,,,437.15,2025-01-06 19:41:33,2025-01-07 16:09:33
ORD01006146,CUST00671,REST0014,DP0470,Jan 02 2025,21:24:21,,,,381.61,2025-01-02 21:24:21,2025-01-03 12:28:21
